ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Variable Output Compressor,Registration Number
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,CRV4-19AS / ERV4-19AS,CRV4-19AS / ERV4-19AS,,ACTRON AIR,1.989,Ducted,Single Split System,,Air,Air,Australia,5.1,15.011,17,,0,,,,5.14,19,Enthalpy Test Room,3.2611,3.6133,TRUE,100,,43.58,42.05,0,0,,,,3.169442454,3.516092039,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",73975,2018/9/6,,Archived,Reverse Cycle,,Class 7,TRUE,,TRUE,TRUE,TRUE,TRUE,2020-070,3.2611,Unavailable,,,TRUE,AAC0414
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,SRK92ZMA-S / SRC92ZMA-S,,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",2.49,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,2.54,6.71,9.2,,2.776693286,9.388,3.381,,2.84,10,Calorimeter Room,3.6136,3.499,TRUE,,,4,4,0,0,,,,3.594707995,3.482799639,,,2.6894,2.4656,2.5,2,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",74231,2018/9/6,,Approved,Reverse Cycle,,Class 4,TRUE,TRUE,,TRUE,TRUE,TRUE,,3.6136,Available,,,TRUE,AAC0413
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,DXK32ZMA-S / DXC32ZMA-S,,,"MITSUBISHI HEAVY INDUSTRIES, LTD.",2.49,Non Ducted,Single Split System,Wall Hung,Air,Air,Thailand,2.54,6.71,9.2,,2.776693286,9.388,3.381,,2.84,10,Calorimeter Room,3.6136,3.499,TRUE,,,4,4,0,0,,,,3.594707995,3.482799639,,,2.6894,2.4656,2.5,2,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",74243,2018/10/10,,Approved,Reverse Cycle,,Class 4,TRUE,TRUE,,TRUE,TRUE,TRUE,,3.6136,Available,,,TRUE,AAC0511
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,ARTG60LHTB/AOTG60LATA,,,FUJITSU,0.68,Ducted,Single Split System,,Air,Air,Thailand,4.92,15.12,15.8,700,0,,,450,4.98,18,Calorimeter Room,3.2613,3.7283,TRUE,65,,9.38,9.36,4.399087799,0,,,,3.240260408,3.704070835,,,0,0,0,0,Calorimeter Room,Single,R410A,"Australia,New Zealand",75033,2018/9/6,,Archived,Reverse Cycle,1587,Class 7,FALSE,,TRUE,,,,UTY-XCZZ5,3.2613,Available,,,TRUE,AAC0411
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,B30AWYN7G5 / B30AWYU4G5,,,LG,1.3,Ducted,Single Split System,,Air,Air,South Korea,2.85,7.5,8.8,563,0,,,400,2.8,9.2,Enthalpy Test Room,3.0845,3.5264,TRUE,51.42,,9.573,9.49,5.439903846,0,,,,3.050176025,3.48455988,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",75115,2018/10/15,,Approved,Reverse Cycle,1352,Class 6,TRUE,,FALSE,TRUE,TRUE,TRUE,,3.0845,Available,,,TRUE,AAC0516
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,B36AWYN7G5 / B36AWYU4G5,,,LG,1.1,Ducted,Single Split System,,Air,Air,South Korea,2.9,8.8,9.9,563,0,,,400,3.28,11,Enthalpy Test Room,3.6166,3.4433,TRUE,,,15.279,15.161,0,0,,,,3.552642322,3.390324873,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",75116,2018/9/26,,Approved,Reverse Cycle,1352,Class 6,TRUE,,FALSE,TRUE,TRUE,TRUE,,3.6166,Available,,,TRUE,AAC0464
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,B42AWYN7G5 / B42AWYU3G5,,,LG,1.5,Ducted,Single Split System,,Air,Air,South Korea,3.65,10.8,12.3,563,0,,,400,3.82,14.1,Enthalpy Test Room,3.4431,3.7862,TRUE,,,15.279,15.161,0,0,,,,3.395628747,3.7371303,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",75117,2018/10/9,,Approved,Reverse Cycle,1352,Class 7,TRUE,,FALSE,TRUE,TRUE,TRUE,,3.4431,Available,,,TRUE,AAC0502
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,B55AWYN7G5 / B55AWYU3G5,,,LG,2,Ducted,Single Split System,,Air,Air,South Korea,4.85,13,15,563,0,,,400,5.2,17.1,Enthalpy Test Room,3.1179,3.5051,TRUE,54.6,,15.279,15.161,4.536288089,0,,,,3.08516589,3.470321776,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",75118,2018/10/10,,Approved,Reverse Cycle,1352,Class 7,TRUE,,FALSE,TRUE,TRUE,TRUE,,3.1179,Available,,,TRUE,AAC0510
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,RAV-SM567CTP-E + RAV-SP564ATP-A,,,Toshiba,1.2,Non Ducted,Single Split System,Under ceiling,Air,Air,Thailand,1.37,3.8,5,690,0,,,235,1.28,5.6,Enthalpy Test Room,3.4936,4.1915,TRUE,100,,8.01,8.01,0,0,,,,3.427698283,4.10699695,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",75132,2018/11/17,,Approved,Reverse Cycle,950,Class 4,FALSE,,FALSE,,,,,3.4936,Available,,,TRUE,AAC0565
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,CAY470T / EVY470T,CAY470T / EVY470T,,ACTRON AIR,8.897,Ducted,Packaged,,Air,Air,Australia,15.4,36.873,45.77,,0,,,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,TRUE,100,,85.9,85.9,0,0,,,,2.995954565,3.736888044,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",75245,2021/10/4,,Approved,Reverse Cycle,,Class 12,TRUE,,FALSE,TRUE,TRUE,TRUE,,3.0538,Available,,,FALSE,AAC2252
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,PKY470T,CAY470T / EVY470T,,ACTRON AIR,8.897,Ducted,Packaged,,Air,Air,Australia,15.4,36.873,45.77,,0,,,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,TRUE,100,,85.9,85.9,0,0,,,,2.995954565,3.736888044,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",75245,2021/10/4,,Approved,Reverse Cycle,,Class 12,TRUE,,FALSE,TRUE,TRUE,TRUE,,3.0538,Available,,,FALSE,AAC2252
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,CAY470T,CAY470T / EVY470T,,ACTRON AIR,8.897,Ducted,Single Split System,,Air,Air,Australia,15.4,36.873,45.77,,0,0,0,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,TRUE,0,,85.9,85.9,0,0,,,,2.995954565,3.736888044,,,0,0,0,0,None,Three,R410A,"Australia,New Zealand",75246,2021/8/29,2016/8/30,Superseded,Reverse Cycle,,Class 12,TRUE,,,TRUE,TRUE,TRUE,,3.0538,Available,,,FALSE,AAC2196
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,CAY470T / EVY470T,CAY470T / EVY470T,,ACTRON AIR,8.897,Ducted,Single Split System,,Air,Air,Australia,15.4,36.873,45.77,,0,0,0,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,TRUE,0,,85.9,85.9,0,0,,,,2.995954565,3.736888044,,,0,0,0,0,None,Three,R410A,"Australia,New Zealand",75246,2021/8/29,2016/8/30,Superseded,Reverse Cycle,,Class 12,TRUE,,,TRUE,TRUE,TRUE,,3.0538,Available,,,FALSE,AAC2196
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.3:2002,PKY470T,CAY470T / EVY470T,,ACTRON AIR,8.897,Ducted,Single Split System,,Air,Air,Australia,15.4,36.873,45.77,,0,0,0,,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,TRUE,0,,85.9,85.9,0,0,,,,2.995954565,3.736888044,,,0,0,0,0,None,Three,R410A,"Australia,New Zealand",75246,2021/8/29,2016/8/30,Superseded,Reverse Cycle,,Class 12,TRUE,,,TRUE,TRUE,TRUE,,3.0538,Available,,,FALSE,AAC2196
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,ASTG07CMCA/AOTG07CMCA,,,FUJITSU,0.75,Non Ducted,Single Split System,Wall Hung,Air,,China,0.42,1.35,2.1,203,0,,,268,,,Calorimeter Room,5.2346,,TRUE,,,4.49,,0,0,,,,5.045502339,,,,5.591,,5.5,,Calorimeter Room,Single,R32,"Australia,New Zealand",75305,2018/9/27,,Archived,Cooling Only,840,Class 3,TRUE,TRUE,,TRUE,TRUE,TRUE,,5.2346,Available,,,TRUE,AAC0477
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,ASTG09CMCA/AOTG09CMCA,,,FUJITSU,0.89,Non Ducted,Single Split System,Wall Hung,Air,,China,0.51,1.61,2.5,203,0,,,268,,,Calorimeter Room,5.0353,,TRUE,62.3,,4.49,,5.825203252,0,,,,4.889787466,,,,5.2796,,5,,Calorimeter Room,Single,R32,"Australia,New Zealand",75307,2018/9/26,,Archived,Cooling Only,840,Class 3,TRUE,TRUE,,TRUE,TRUE,TRUE,,5.0353,Available,,,TRUE,AAC0462
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,ASTG12CMCA/AOTG12CMCA,,,FUJITSU,1.23,Non Ducted,Single Split System,Wall Hung,Air,,China,0.86,2.27,3.5,203,0,,,268,,,Calorimeter Room,4.1804,,TRUE,61.1,,4.49,,5.43220339,0,,,,4.107867499,,,,3.7157,,3.5,,Calorimeter Room,Single,R32,"Australia,New Zealand",75311,2018/10/1,,Archived,Cooling Only,840,Class 3,TRUE,TRUE,,TRUE,TRUE,TRUE,,4.1804,Available,,,TRUE,AAC0485
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,FTXZ25N / RXZ25N,,,DAIKIN,0.11,Non Ducted,Single Split System,Wall Hung,Air,Air,Japan,0.42,2.39,2.5,370,4.094072866,7.529,1.839,295,0.62,3.6,Calorimeter Room,5.848,5.794,TRUE,100,,1,1,0,0,,,,5.801404402,5.761351144,,,7.1028,7.0227,7,7,Calorimeter Room,Single,R32,"Australia,New Zealand",75490,2018/10/3,,Approved,Reverse Cycle,798,Class 3,FALSE,,FALSE,,,,,5.848,Available,,,TRUE,AAC0489
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,FTXZ50N / RXZ50N,,,DAIKIN,1.2,Non Ducted,Single Split System,Wall Hung,Air,Air,Japan,1.18,3.8,5,370,3.592607004,9.233,2.57,295,1.37,6.3,Calorimeter Room,4.217,4.6016,TRUE,100,,1,1,0,0,,,,4.204677249,4.590337199,,,3.9094,4.6807,3.5,4.5,Calorimeter Room,Single,R32,"Australia,New Zealand",75491,2018/11/17,,Approved,Reverse Cycle,798,Class 4,FALSE,,FALSE,,,,,4.217,Available,,,TRUE,AAC0563
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,FTXZ35N / RXZ35N,,,DAIKIN,0.58,Non Ducted,Single Split System,Wall Hung,Air,Air,Japan,0.68,2.92,3.5,370,3.589452333,8.848,2.465,295,0.99,5,Calorimeter Room,5.1604,5.1002,TRUE,100,,1,1,0,0,,,,5.134109997,5.082813855,,,5.7682,5.6656,5.5,5.5,Calorimeter Room,Single,R32,"Australia,New Zealand",75492,2018/11/8,,Approved,Reverse Cycle,798,Class 3,FALSE,,FALSE,,,,,5.1604,Available,,,TRUE,AAC0545
