,ApplStandard,N-Standard,Model_No,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration3_Sink,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,H2_COP,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,AnnualOutputEER,AnnualOutputCOP,outdoortype,Phase,Refrigerant,Type,Demand Response 1,EER,Registration Number
21,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:1998/Amdt 3:2006,DXK32ZMA-S / DXC32ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",2.49,Non Ducted,Single Split System,Air,Thailand,2.54,6.71,9.2,2.77669328601,2.84,10.0,Calorimeter Room,3.6136,3.499,True,4.0,4.0,0.0,0.0,3.59470799529,3.48279963904,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.6136,AAC0511
22,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,ARTG60LHTB/AOTG60LATA,FUJITSU,0.68,Ducted,Single Split System,Air,Thailand,4.92,15.12,15.8,0.0,4.98,18.0,Calorimeter Room,3.2613,3.7283,True,9.38,9.36,4.39908779932,0.0,3.24026040778,3.70407083457,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.2613,AAC0411
23,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,B30AWYN7G5 / B30AWYU4G5,LG,1.3,Ducted,Single Split System,Air,South Korea,2.85,7.5,8.8,0.0,2.8,9.2,Enthalpy Test Room,3.0845,3.5264,True,9.573,9.49,5.43990384615,0.0,3.05017602483,3.48455988042,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.0845,AAC0516
24,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,B36AWYN7G5 / B36AWYU4G5,LG,1.1,Ducted,Single Split System,Air,South Korea,2.9,8.8,9.9,0.0,3.28,11.0,Enthalpy Test Room,3.6166,3.4433,True,15.279,15.161,0.0,0.0,3.5526423219,3.39032487255,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.6166,AAC0464
25,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,B42AWYN7G5 / B42AWYU3G5,LG,1.5,Ducted,Single Split System,Air,South Korea,3.65,10.8,12.3,0.0,3.82,14.1,Enthalpy Test Room,3.4431,3.7862,True,15.279,15.161,0.0,0.0,3.39562874675,3.73713030018,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.4431,AAC0502
26,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,B55AWYN7G5 / B55AWYU3G5,LG,2.0,Ducted,Single Split System,Air,South Korea,4.85,13.0,15.0,0.0,5.2,17.1,Enthalpy Test Room,3.1179,3.5051,True,15.279,15.161,4.53628808864,0.0,3.08516588956,3.47032177605,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.1179,AAC0510
27,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,RAV-SM567CTP-E + RAV-SP564ATP-A,Toshiba,1.2,Non Ducted,Single Split System,Air,Thailand,1.37,3.8,5.0,0.0,1.28,5.6,Enthalpy Test Room,3.4936,4.1915,True,8.01,8.01,0.0,0.0,3.42769828283,4.10699694983,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.4936,AAC0565
28,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,CAY470T / EVY470T,ACTRON AIR,8.897,Ducted,Packaged,Air,Australia,15.4,36.873,45.77,0.0,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,True,85.9,85.9,0.0,0.0,2.99595456454,3.73688804352,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.0538,AAC2252
29,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,PKY470T,ACTRON AIR,8.897,Ducted,Packaged,Air,Australia,15.4,36.873,45.77,0.0,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,True,85.9,85.9,0.0,0.0,2.99595456454,3.73688804352,Enthalpy Test Room,Three,R410A,Reverse Cycle,True,3.0538,AAC2252
30,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.3:2002,CAY470T,ACTRON AIR,8.897,Ducted,Single Split System,Air,Australia,15.4,36.873,45.77,0.0,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,True,85.9,85.9,0.0,0.0,2.99595456454,3.73688804352,None,Three,R410A,Reverse Cycle,True,3.0538,AAC2196
31,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.3:2002,CAY470T / EVY470T,ACTRON AIR,8.897,Ducted,Single Split System,Air,Australia,15.4,36.873,45.77,0.0,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,True,85.9,85.9,0.0,0.0,2.99595456454,3.73688804352,None,Three,R410A,Reverse Cycle,True,3.0538,AAC2196
32,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.3:2002,PKY470T,ACTRON AIR,8.897,Ducted,Single Split System,Air,Australia,15.4,36.873,45.77,0.0,14.157,47.37,Enthalpy Test Room,3.0538,3.8195,True,85.9,85.9,0.0,0.0,2.99595456454,3.73688804352,None,Three,R410A,Reverse Cycle,True,3.0538,AAC2196
33,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,ASTG07CMCA/AOTG07CMCA,FUJITSU,0.75,Non Ducted,Single Split System,Air,China,0.42,1.35,2.1,0.0,,,Calorimeter Room,5.2346,,True,4.49,,0.0,0.0,5.04550233926,,Calorimeter Room,Single,R32,Cooling Only,True,5.2346,AAC0477
34,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,ASTG09CMCA/AOTG09CMCA,FUJITSU,0.89,Non Ducted,Single Split System,Air,China,0.51,1.61,2.5,0.0,,,Calorimeter Room,5.0353,,True,4.49,,5.82520325203,0.0,4.88978746562,,Calorimeter Room,Single,R32,Cooling Only,True,5.0353,AAC0462
35,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,ASTG12CMCA/AOTG12CMCA,FUJITSU,1.23,Non Ducted,Single Split System,Air,China,0.86,2.27,3.5,0.0,,,Calorimeter Room,4.1804,,True,4.49,,5.43220338983,0.0,4.10786749857,,Calorimeter Room,Single,R32,Cooling Only,True,4.1804,AAC0485
36,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,FTXZ25N / RXZ25N,DAIKIN,0.11,Non Ducted,Single Split System,Air,Japan,0.42,2.39,2.5,4.09407286569,0.62,3.6,Calorimeter Room,5.848,5.794,True,1.0,1.0,0.0,0.0,5.80140440172,5.76135114428,Calorimeter Room,Single,R32,Reverse Cycle,False,5.848,AAC0489
37,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,FTXZ50N / RXZ50N,DAIKIN,1.2,Non Ducted,Single Split System,Air,Japan,1.18,3.8,5.0,3.59260700389,1.37,6.3,Calorimeter Room,4.217,4.6016,True,1.0,1.0,0.0,0.0,4.20467724904,4.59033719903,Calorimeter Room,Single,R32,Reverse Cycle,False,4.217,AAC0563
38,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,FTXZ35N / RXZ35N,DAIKIN,0.58,Non Ducted,Single Split System,Air,Japan,0.68,2.92,3.5,3.58945233266,0.99,5.0,Calorimeter Room,5.1604,5.1002,True,1.0,1.0,0.0,0.0,5.13410999729,5.08281385543,Calorimeter Room,Single,R32,Reverse Cycle,False,5.1604,AAC0545
39,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:1998/Amdt 3:2006,DXK24ZMA-S / DXC24ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",1.9,Non Ducted,Single Split System,Air,Thailand,2.16,5.2,7.1,2.49513933895,2.14,8.0,Calorimeter Room,3.3792,3.6604,True,6.0,6.0,0.0,0.0,3.34699710428,3.62675034463,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.3792,AAC0526
40,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,DXK21ZMA-S / DXC21ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",1.5,Non Ducted,Single Split System,Air,Thailand,1.76,4.8,6.3,2.43365695793,1.79,7.1,Calorimeter Room,3.6929,3.8396,True,6.0,6.0,0.0,0.0,3.65038472887,3.79724824483,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.6929,AAC0518
41,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:1998/Amdt 3:2006,E32AWN-NV13/E32AWN-UV13,LG,7.5,Non Ducted,Single Split System,Air,South Korea,2.9,1.5,9.0,0.0,3.22,10.0,Calorimeter Room,3.1057,3.1676,True,1.77,1.77,4.27272727273,4.07137707282,3.09940366449,3.16178627129,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.1057,AAC0494
42,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,ASTG18CMCA/AOTG18CMCA,FUJITSU,1.78,Non Ducted,Single Split System,Air,China,1.22,3.22,5.0,0.0,,,Calorimeter Room,4.2368,,True,4.17,,5.44339622642,0.0,4.18789183751,,Calorimeter Room,Single,R32,Cooling Only,True,4.2368,AAC0486
43,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,ASTG24CMCA/AOTG24CMCA,FUJITSU,1.85,Non Ducted,Single Split System,Air,China,2.01,5.25,7.1,0.0,,,Calorimeter Room,3.6186,,True,4.17,,4.669327252,0.0,3.59328709719,,Calorimeter Room,Single,R32,Cooling Only,True,3.6186,AAC0481
44,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.3:2002,APC035VA3A,Specialized Engineering,6.014,Ducted,Packaged,Air,Australia,9.906,27.094,33.108,0.0,,,Enthalpy Test Room,3.3422,,False,90.0,,0.0,0.0,3.24263971323,,Enthalpy Test Room,Three,R410A,Cooling Only,False,3.3422,AAC0531
45,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.3:2002,APC030VA3A,Specialized Engineering,4.828,Ducted,Packaged,Air,Australia,8.818,25.33,30.158,0.0,,,Enthalpy Test Room,3.42,,False,45.0,,0.0,0.0,3.362058394,,Enthalpy Test Room,Three,R410A,Cooling Only,False,3.42,AAC0524
46,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,SRK50ZMA-S / SRC50ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",1.31,Non Ducted,Single Split System,Air,Thailand,1.55,3.69,5.0,2.40342751274,1.59,5.8,Calorimeter Room,3.185,3.6524,True,3.83,3.76,4.44426229508,0.0,3.15956273926,3.62372315125,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.185,AAC0560
47,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.1:2012,SRK50ZMXA-S / SRC50ZMXA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",0.01,Non Ducted,Single Split System,Air,Thailand,1.3,4.99,5.0,3.21179487179,1.36,6.0,Calorimeter Room,3.7936,4.4312,True,3.0,3.0,5.31075697211,5.28410914928,3.76452983055,4.39838146574,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.7936,AAC0656
48,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,SRK60ZMXA-S / SRC60ZMXA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",1.656,Non Ducted,Single Split System,Air,Thailand,1.86,4.344,6.0,2.44932699921,1.67,6.8,Calorimeter Room,3.2412,4.1017,True,3.0,3.0,4.96335877863,5.19341563786,3.22375195049,4.07708582032,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.2412,AAC0655
49,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,RAV-SM1107CTP-E + RAV-SP1104AT-A,Toshiba,2.4,Non Ducted,Single Split System,Air,"Japan,Thailand",2.45,7.6,10.0,0.0,2.39,11.2,Enthalpy Test Room,3.9232,4.4691,True,12.02,12.02,0.0,0.0,3.86072766744,4.39641345513,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.9232,AAC0549
50,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,RAV-SM1407CTP-E + RAV-SP1404AT-A,Toshiba,3.4,Non Ducted,Single Split System,Air,"Thailand,Japan",3.9,9.1,12.5,0.0,3.62,14.0,Enthalpy Test Room,3.1029,3.7005,True,12.02,12.02,4.39456193353,5.03032345013,3.07179875163,3.66056893971,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.1029,AAC0559
51,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,RAV-SM807CTP-E + RAV-SP804ATP-A,Toshiba,1.7,Non Ducted,Single Split System,Air,Thailand,1.86,5.4,7.1,0.0,1.92,8.0,Enthalpy Test Room,3.6773,4.0506,True,8.03,8.03,0.0,0.0,3.62576824193,3.99462349122,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.6773,AAC0535
52,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,RAV-SM1407CTP-E + RAV-SP1404AT8-A,Toshiba,3.4,Non Ducted,Single Split System,Air,"Thailand,Japan",3.72,9.1,12.5,0.0,3.56,14.0,Enthalpy Test Room,3.2815,3.7902,True,18.03,18.03,0.0,0.0,3.22931383354,3.72799205068,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.2815,AAC0534
53,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,RAV-SM1607CTP-E + RAV-SP1604AT8-A,Toshiba,4.2,Non Ducted,Single Split System,Air,"Thailand,Japan",4.24,9.7,13.9,0.0,4.31,16.0,Enthalpy Test Room,3.1348,3.7178,True,18.03,18.03,4.29542857143,4.79253567508,3.09160777034,3.66492759971,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.1348,AAC0556
54,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.3:2002,APC040VA3A,SPECIALIZED ENGINEERING,7.42,Ducted,Packaged,Air,Australia,11.73,31.33,38.75,0.0,,,Enthalpy Test Room,3.3051,,False,79.0,,0.0,0.0,3.23154634946,,Enthalpy Test Room,Three,R410A,Cooling Only,False,3.3051,AAC0528
55,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.3:2002,APC045VA3A,SPECIALIZED ENGINEERING,8.65,Ducted,Packaged,Air,Australia,13.84,35.0,43.65,0.0,11.74,43.53,Enthalpy Test Room,3.1539,3.707,False,80.0,80.0,0.0,0.0,3.09346297766,3.62358895808,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.1539,AAC0530
56,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.3:2002,APH045VA3A,SPECIALIZED ENGINEERING,8.65,Ducted,Packaged,Air,Australia,13.84,35.0,43.65,0.0,11.74,43.53,Enthalpy Test Room,3.1539,3.707,False,80.0,80.0,0.0,0.0,3.09346297766,3.62358895808,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.1539,AAC0530
57,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,APC024VA3B,SPECIALIZED ENGINEERING,5.74,Ducted,Packaged,Air,Australia,7.0,18.86,24.6,0.0,6.5,23.8,Enthalpy Test Room,3.781,3.6523,False,89.0,89.0,0.0,0.0,3.62249575717,3.49114526344,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.781,AAC1445
58,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,APH024VA3B,SPECIALIZED ENGINEERING,5.74,Ducted,Packaged,Air,Australia,7.0,18.86,24.6,0.0,6.5,23.8,Enthalpy Test Room,3.781,3.6523,False,89.0,89.0,0.0,0.0,3.62249575717,3.49114526344,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.781,AAC1445
59,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.3:2005,DWAI-04HAB,DUNNAIR,1.0,Ducted,Packaged,Cooling Tower,China,1.14,3.1,4.1,0.0,1.13,4.3,Enthalpy Test Room,3.6623,3.8028,True,5.0,7.0,0.0,0.0,3.60878209007,3.72457944088,Enthalpy Test Room,Single,R410A,Reverse Cycle,False,3.6623,AAC0858
